id,lang_id,dict_detail_id,lbl
HyyYcDaBQAuQKaXXAVNHLA,MGExYjJhODVkY2FlNDI4OW,GyW2YnX9T/eUv6x1tpuopg,未删除
dHZfecghQ5KYUOlcDbI0bQ,MGExYjJhODVkY2FlNDI4OW,Fd8a6f6iSRCo9EDne2zfow,已删除
TEqK0eYiTY+CCbPwF12d6A,MGExYjJhODVkY2FlNDI4OW,0jjG4bRDQRyktztP2Q+fNA,是
JID3oZtvQw6x4SqBIM7J6g,MGExYjJhODVkY2FlNDI4OW,941V0anPQ7yg9wu3avdOIA,否
MCdtIVlkRsCaaUik7auC6A,MGExYjJhODVkY2FlNDI4OW,GeQJZdabSaCM3xjUQo3MCQ,是
5dF4o3L1Rw+zWec0hRvxTw,MGExYjJhODVkY2FlNDI4OW,c2p7mr3gTLuWLzjL63u6nw,否
sAJRCJ6zSn6ECATUykZpTw,MGExYjJhODVkY2FlNDI4OW,LR09DTObRXuT8fS2uTlCvQ,是
AfsbeCYARcKFlCXgZYl5cA,MGExYjJhODVkY2FlNDI4OW,PBKBkvg5Q/y+wWVzmSV9og,否
ABm5e9hyQZe5usRgsnnJNQ,MGExYjJhODVkY2FlNDI4OW,FcTYhlpwSS+/WnSbR6h1gg,字符串
7UTvnsJtQ9mY4oAbLCcKkw,MGExYjJhODVkY2FlNDI4OW,4HBNVbSlSjmPZFfYOQ8rWQ,数值
uZe2r56QTOKJcVVf5f2p3g,MGExYjJhODVkY2FlNDI4OW,KR9MEu1ERJ6QvOdn5ujhYA,日期
iTeSxlThRamAvV0H1+ppLA,MGExYjJhODVkY2FlNDI4OW,PeakCHbmSDOfaaFxfmzArg,日期时间
33snYKKfS6eROTRH+GWyWw,MGExYjJhODVkY2FlNDI4OW,9+eTziOwTK+ioyxzEIuT0Q,时间
aLudOMGrTi+LFhrv1sahFQ,MGExYjJhODVkY2FlNDI4OW,BcdnyeztSmevOq3XJkdEYw,布尔
T4I/CyrVRA6dtZQntC9ltg,MGExYjJhODVkY2FlNDI4OW,+MHRmW9BRQmpIhAw0kepjA,运行中
eO9Ci7gAQ4K7wNlCSWm3NQ,MGExYjJhODVkY2FlNDI4OW,ZqtV1PuRTqSGjbym03Imlw,成功
44hmVjrkRvyuUWlIQGQEUQ,MGExYjJhODVkY2FlNDI4OW,/QlQmhfVR0+rqFiB8DkFvA,失败
HLvzitRdS+WaSSMRtsWNwQ,MGExYjJhODVkY2FlNDI4OW,SVGfVmYDTI+Ov+89Bei4hg,取消
PsNEpLkMRUy5P8tiv6OyDw,MGExYjJhODVkY2FlNDI4OW,/JqNn6gCSw6jLGXjnuOS7A,文本
Te7JqO3JQNK2VatbQ8YN/g,MGExYjJhODVkY2FlNDI4OW,YknVb5sgRsm9xZ/uBhdguQ,下载
KrPyxofLSmqFcRw8wyEgJQ,MGExYjJhODVkY2FlNDI4OW,96yYOvEpSrOn19e8O5cEnw,查看
Gfjbh9P8QP+xxo2PYaaOBg,MGExYjJhODVkY2FlNDI4OW,JTXeK3BNQlyAJfhUswh62Q,标签
FUc/DrOhQx6m6QsrcFt2JA,MGExYjJhODVkY2FlNDI4OW,LxsHlKpTTPOhnxnlmEjKgQ,是
+Dx0dDhzRjO7PE9wGh6/vQ,MGExYjJhODVkY2FlNDI4OW,FW5ofnmCR9+/Enm93mD0Ww,否
5TiuQaMWSMWIMiHpxDHXgQ,MGExYjJhODVkY2FlNDI4OW,bExSBuj+RruLXAUBZYOQbw,创建人
UdmJLaj9T0SOPHJMPV12yw,MGExYjJhODVkY2FlNDI4OW,EoBCe8WvTiuiM/1D60LFrg,本部门
