id,lang_id,menu_id,code,lbl
fZ27Q16tTveXV6HvKNRQ7w,eYHRCo6WQFm4TBWYzAdERg,,新增,Add
WUKhs9JYQTaTVT0eRq4sgQ,eYHRCo6WQFm4TBWYzAdERg,,新增选项,AddOption
kO9HdH0pTNSQNMQfr9bRWA,eYHRCo6WQFm4TBWYzAdERg,,请选择需要 复制 的 {0},Please select the {0} to be copied
7rn6J85YQNmTN5N5quMBlQ,eYHRCo6WQFm4TBWYzAdERg,,复制,Copy
vrNmFTvnSY2+uWNMC8y3iw,eYHRCo6WQFm4TBWYzAdERg,,请选择需要 编辑 的 {0},Please select the {0} to be edited
ew9eZD8CSQK++Gle8Hixuw,eYHRCo6WQFm4TBWYzAdERg,,修改,Edit
D0S3CGgkTiKnwQTvPNfQjA,eYHRCo6WQFm4TBWYzAdERg,,查询,Query
5XtJyEEVRva0Ocml9tUhPg,eYHRCo6WQFm4TBWYzAdERg,,重置,Reset
faDtIsBSS6WpS6AWUXED9w,eYHRCo6WQFm4TBWYzAdERg,,查看,View
v8Z1SP9XQFOvCwy7fIpL4A,eYHRCo6WQFm4TBWYzAdERg,,更多操作,More
xOznNREdRHCCIKTp0k1iyw,eYHRCo6WQFm4TBWYzAdERg,,导出,Export
Wt93C3mSQx6pZUNW85yw1g,eYHRCo6WQFm4TBWYzAdERg,,导入,Import
JkWwsuLWRMaWynTZ6HbxJw,eYHRCo6WQFm4TBWYzAdERg,,编辑,Edit
I8WJ2AsaTDOB2hS77TCBFg,eYHRCo6WQFm4TBWYzAdERg,,彻底删除,CompletelyDelete
M38ch+hfQ2y/PgxEi+E73Q,eYHRCo6WQFm4TBWYzAdERg,,刷新,Refresh
vzmcwe85T0KOmHplKo6QbQ,eYHRCo6WQFm4TBWYzAdERg,,列操作,ColumnOperation
mU3dccCaQnqQPfEHFOHjNg,eYHRCo6WQFm4TBWYzAdERg,,暂存,Temporary
usxeViWkST2e3n+X5d5j8Q,eYHRCo6WQFm4TBWYzAdERg,,查询条件暂存,Query condition temporary
GCBs6skUQ3GexqpWaDu9GQ,eYHRCo6WQFm4TBWYzAdERg,,回收站,RecycleBin
StE2amFsSJiElbM7PxnwVg,eYHRCo6WQFm4TBWYzAdERg,,已选择,Selected
6KZKnzQtTsa8FZ0fdWHnBA,eYHRCo6WQFm4TBWYzAdERg,,关闭,Close
IJPZm2VfSqqG19Z9ZYWxYQ,eYHRCo6WQFm4TBWYzAdERg,,保存并继续,SaveAndContinue
VqqkyIB1Re21lVhuvRsihw,eYHRCo6WQFm4TBWYzAdERg,,确定要重置表单吗,Are you sure to reset the form
mbEJzZ9cTrmBjbzEKnfg8g,eYHRCo6WQFm4TBWYzAdERg,,确定删除已选择的 {0} {1},Are you sure to delete the {0} selected {1}
HXFOFaPORbGSpz7sr/HCfQ,eYHRCo6WQFm4TBWYzAdERg,,请选择需要删除的 {0},Please select the {0} to be deleted
XnNZCoA4SNWRxmn8lSxqjQ,eYHRCo6WQFm4TBWYzAdERg,,无权限,Unauthorized
6UlLyJULTUGhnwLGl8JWiw,eYHRCo6WQFm4TBWYzAdERg,,删除 {0} {1} 成功,Delete {0} {1} successfully
5Up5WozrQdqYGKBpnPU2eQ,eYHRCo6WQFm4TBWYzAdERg,,请选择需要 彻底删除 的 {0},Please select the {0} to be completely deleted
XWNj4QGQSvq/XDcZBTWC+A,eYHRCo6WQFm4TBWYzAdERg,,确定 彻底删除 已选择的 {0} {1},Confirm to completely delete the {0} selected {1}
eV7MehtaQeGRDiw9BGYsfA,eYHRCo6WQFm4TBWYzAdERg,,彻底删除 {0} {1} 成功,Completely delete {0} {1} successfully
r3RnSlUORpm/WtAQp0vCyg,eYHRCo6WQFm4TBWYzAdERg,,请选择需要还原的 {0},Please select the {0} to be restored
mIUhD5roTOG3xXYR9ESTAA,eYHRCo6WQFm4TBWYzAdERg,,确定还原已选择的 {0} {1},Confirm to restore the {0} selected {1}
