id,lang_id,menu_id,code,lbl
UgWZtV+cR4SlheYM38Cy5A,MGExYjJhODVkY2FlNDI4OW,,新增,新增
w3ilTmPzTE+n/+YhyrjEnw,MGExYjJhODVkY2FlNDI4OW,,请选择需要 复制 的 {0},请选择需要 复制 的 {0}
ED51CozhSxaduDt2GihRdQ,MGExYjJhODVkY2FlNDI4OW,,复制,复制
yNynpzj0Q7OXabid6MQoew,MGExYjJhODVkY2FlNDI4OW,,请选择需要 编辑 的 {0},请选择需要 编辑 的 {0}
jJWm7f4HR2OhQRJEdfyXtw,MGExYjJhODVkY2FlNDI4OW,,修改,修改
0h43sKetTFKNa+P5YdbbpQ,MGExYjJhODVkY2FlNDI4OW,,查询,查询
MDkMZilsRx6snpWzKnLoUA,MGExYjJhODVkY2FlNDI4OW,,重置,重置
E/xeD+f5T3aenfJuQqQuvA,MGExYjJhODVkY2FlNDI4OW,,查看,查看
VPsmrTFVTvW5RgG5uGzIKQ,MGExYjJhODVkY2FlNDI4OW,,更多操作,更多操作
Lar5ygVeSpeqvYuCR6yU5w,MGExYjJhODVkY2FlNDI4OW,,导出,导出
U6LtEqmfQSWGSPKj7BnrVA,MGExYjJhODVkY2FlNDI4OW,,导入,导入
k1hK/tQuS9Kmq6HUFitbFQ,MGExYjJhODVkY2FlNDI4OW,,编辑,编辑
9qYDWrVcR92agcLNb6PShg,MGExYjJhODVkY2FlNDI4OW,,彻底删除,彻底删除
OvfYQw+iQ4GEdIx2e9QPaA,MGExYjJhODVkY2FlNDI4OW,,刷新,刷新
5CBcTvMKQNehdAdB4ryiqw,MGExYjJhODVkY2FlNDI4OW,,列操作,列操作
yGo0oQyOSsGglOP4Qb8MoQ,MGExYjJhODVkY2FlNDI4OW,,暂存,暂存
lkDIHIIQTS26SUXz7Nb9xw,MGExYjJhODVkY2FlNDI4OW,,查询条件暂存,查询条件暂存
Lv2RcKt2TnuOaLnpU19LzA,MGExYjJhODVkY2FlNDI4OW,,回收站,回收站
qHb1wvbhReKVNy+EUqWiMA,MGExYjJhODVkY2FlNDI4OW,,已选择,已选择
caUKIEnTTEOW1SP6l9+BNw,MGExYjJhODVkY2FlNDI4OW,,关闭,关闭
5olrMeSvQairuHgn2/F8kA,MGExYjJhODVkY2FlNDI4OW,,保存并继续,保存并继续
