id,role_id,menu_id,tenant_id
2ZbnF2I9Q36V1iGKT7aF/g,T/A58UzxTzK0thbZH7aZhw,6ZeQOSTtRpGy+467HJZuBw,ZDbZlC1OT8KaDg6soxMCBQ
9sXI8fA0Tsem2ND0NdGA6w,T/A58UzxTzK0thbZH7aZhw,LiRTLUICQA2SRlJgYoNmnA,ZDbZlC1OT8KaDg6soxMCBQ
JK8kJ4bGR7u1UWtFfiPXXQ,T/A58UzxTzK0thbZH7aZhw,1oTQS2N4TsKhvk7Rnq4hAg,ZDbZlC1OT8KaDg6soxMCBQ
Oy3bd0pgQdGri/GTQwEHaw,T/A58UzxTzK0thbZH7aZhw,TO8DBpthSvG2/XDWOwAqtA,ZDbZlC1OT8KaDg6soxMCBQ
souZ4MrhRNu7hiz3JVgGaw,T/A58UzxTzK0thbZH7aZhw,AE6NzvHDQ3CSMdhPlSHCdg,ZDbZlC1OT8KaDg6soxMCBQ
oPPoL/hgSdGH2XmtuBgkNg,T/A58UzxTzK0thbZH7aZhw,9mMZgzvwTNWB8glB+h4KFg,ZDbZlC1OT8KaDg6soxMCBQ
gcfPQoCQSAOMYX78fJWFPQ,T/A58UzxTzK0thbZH7aZhw,K2mq1MJTRdeqyP7f9oFTIQ,ZDbZlC1OT8KaDg6soxMCBQ
6IQkyCo4QfCiLy2feXP/Gw,T/A58UzxTzK0thbZH7aZhw,ecLh8jMSQgi3N1qWaWgdsA,ZDbZlC1OT8KaDg6soxMCBQ
rAHsml+1SF6wv1jX8jNaMQ,T/A58UzxTzK0thbZH7aZhw,L+1jMngoQImVmBCHnhcz8A,ZDbZlC1OT8KaDg6soxMCBQ
Fl0Fj9SrQjqtmvbzYqv+ww,T/A58UzxTzK0thbZH7aZhw,UVFbKnOJRfelRv93YtbqBQ,ZDbZlC1OT8KaDg6soxMCBQ
ub/gcVp9Tu2EuiFTcd6SfA,T/A58UzxTzK0thbZH7aZhw,HTt8ThGSRO2Gisb0ym4XbA,ZDbZlC1OT8KaDg6soxMCBQ
I2JA+3V2T3+10J3waY++sw,T/A58UzxTzK0thbZH7aZhw,avUSu4oaRnuqAAZ5zXxX9g,ZDbZlC1OT8KaDg6soxMCBQ
obxe8dvpSwuISjfyFLCP8Q,T/A58UzxTzK0thbZH7aZhw,5lhD4VfTQs2vzkZUx8U+ew,ZDbZlC1OT8KaDg6soxMCBQ
/SU5qALmSr+ln0JoSfRdwQ,T/A58UzxTzK0thbZH7aZhw,vU3glaDcRtSU6zYA02lxbA,ZDbZlC1OT8KaDg6soxMCBQ
