id,dict_id,_dict_lbl,lbl,val,order_by,is_sys
d2b8HmriRYqJUIWzZ1/Tqw,ZxjrvSG1SLyL9js3n2/rQw,节点类型,开始,start,1,1
9U1Rk+iDQhW5WE/3FE3JDw,ZxjrvSG1SLyL9js3n2/rQw,,审批,approve,2,1
L1D6EXZYSwCUoKeXYY+9bQ,ZxjrvSG1SLyL9js3n2/rQw,,条件分支组,condition_group,3,1
4LBF9ZquQKSLL7Gdtj3wKw,ZxjrvSG1SLyL9js3n2/rQw,,抄送,cc,4,1
frgXnRq6Q+CZVd6pLOmL6g,ZxjrvSG1SLyL9js3n2/rQw,,结束,end,5,1
,,,,,,
3oQgSfjuTQCfSzKwOb0N3A,Zd1dDfzIT8aSl6Z6/BRASQ,审批方式,或签,or_sign,1,1
2POMLsYwRj6GXMLiZXOYXw,Zd1dDfzIT8aSl6Z6/BRASQ,,会签,counter_sign,2,1
sPzJqBKgSIaELMEC7hb8Aw,Zd1dDfzIT8aSl6Z6/BRASQ,,依次审批,sequential,3,1
,,,,,,
1MBJ/lLHTsi0NRHH6ks9KA,pxFU1dyZRa+cvjS+J+uU1g,流程定义-关联业务,测试流程,bpm_test,1,1
,,,,,,
/yh2AFXGSvOX7n4SMmLobQ,Xsb5KrXXRIOCe01O4rPbRQ,处理人规则,指定用户,user,1,1
zBXWySUmTqK7yLtsZ3Y5qw,Xsb5KrXXRIOCe01O4rPbRQ,,指定角色,role,2,1
K9jkN/g5TSyi0ji2al7/cg,Xsb5KrXXRIOCe01O4rPbRQ,,部门负责人,dept_head,3,1
AH9AuSDWSz65Ap/evRhPDg,Xsb5KrXXRIOCe01O4rPbRQ,,上级部门负责人,parent_dept_head,4,1
pPjDHl+iSdO4VaodE9iWbQ,Xsb5KrXXRIOCe01O4rPbRQ,,发起人自选,starter_select,5,1
DEdnhVS3QpevesXHRkn9EA,Xsb5KrXXRIOCe01O4rPbRQ,,表单字段,form_field,6,1
,,,,,,
HUTMxsKGQEK6C12tUdYyFA,1Hr6dueBRLKIY6QQ7Qdp2Q,流程实例-状态,进行中,running,1,1
VoO4GbMcTeaXxHVu5+apWA,1Hr6dueBRLKIY6QQ7Qdp2Q,,已通过,approved,2,1
I23oldFaRcOQLmMX6VfFiA,1Hr6dueBRLKIY6QQ7Qdp2Q,,已拒绝,rejected,3,1
qYLyARfhSRW92ooLngkhLw,1Hr6dueBRLKIY6QQ7Qdp2Q,,已撤回,revoked,4,1
,,,,,,
M+sNEe/BSCmjFtnffjOnlw,Jk1hNjuOS3i0+LU/ucSirQ,节点实例-状态,待处理,pending,1,1
gGa3u/dmRZaBFnXV24Uuzg,Jk1hNjuOS3i0+LU/ucSirQ,,进行中,running,2,1
aM+f9kh0QDaFSEP1mzzb+A,Jk1hNjuOS3i0+LU/ucSirQ,,已完成,completed,3,1
OWVXoRY7QbCgInMzROCzoA,Jk1hNjuOS3i0+LU/ucSirQ,,已跳过,skipped,4,1
v53FEk3rTlKiS6xNEiHMSQ,Jk1hNjuOS3i0+LU/ucSirQ,,已拒绝,rejected,5,1
,,,,,,
Thp+d+5XSB+rK6Svv7VREQ,8L6RblbsT9+wZP9gSnXK2w,审批任务-状态,待处理,pending,1,1
7qsnLX6bRcG90VNywwTCsA,8L6RblbsT9+wZP9gSnXK2w,,已同意,approved,2,1
N4nKMTxUTVizEwKcyt+pdQ,8L6RblbsT9+wZP9gSnXK2w,,已拒绝,rejected,3,1
pVtl93I6TpG3Ggks0K/rww,8L6RblbsT9+wZP9gSnXK2w,,已转交,transferred,4,1
oJth6DUxSB2IMLNX1qRuqg,8L6RblbsT9+wZP9gSnXK2w,,已撤回,revoked,5,1
,,,,,,
mIDsgPKhQWOkG4x8JpOhTQ,m+R2VGqxRLGchGE/gyfnwQ,审批任务-动作,待审批,pending,1,1
T2lwZwvYQ6+yoLOw1UyQQw,m+R2VGqxRLGchGE/gyfnwQ,,同意,approve,1,1
7oIjgB4fQ3Kv4YuQs07oIw,m+R2VGqxRLGchGE/gyfnwQ,,拒绝,reject,2,1
Xr0LcxDVTC+YWl/43Xw1WA,m+R2VGqxRLGchGE/gyfnwQ,,转交,transfer,3,1
MLrAfQt6Q22PAjukFeARxw,m+R2VGqxRLGchGE/gyfnwQ,,退回,return,4,1
4nmPlvVFQgOnGs6l5yMy6Q,m+R2VGqxRLGchGE/gyfnwQ,,加签,add_sign,5,1
,,,,,,
rODDq7tKSLKwAiLkCPfZXw,wdcNukw5Q7epVAP6KHTbmQ,流程日志-动作,发起,start,1,1
yo8LHsXcTCC+YtNs+/YG5Q,wdcNukw5Q7epVAP6KHTbmQ,,同意,approve,2,1
KHYZw5a8S5K38jySv+OCow,wdcNukw5Q7epVAP6KHTbmQ,,拒绝,reject,3,1
YPPQwJWkQcuYAeCmkHF6YA,wdcNukw5Q7epVAP6KHTbmQ,,转交,transfer,4,1
xePff6vpTEayJXlkUvkZEw,wdcNukw5Q7epVAP6KHTbmQ,,退回,return,5,1
ivq7qhUlR5SBlsB8SA6oAg,wdcNukw5Q7epVAP6KHTbmQ,,加签,add_sign,6,1
1uArkruXQtKhcRIPAirgFg,wdcNukw5Q7epVAP6KHTbmQ,,撤回,revoke,7,1
3FOSSBQnRHa2pTXPQZgOpQ,wdcNukw5Q7epVAP6KHTbmQ,,自动通过,auto_approve,8,1
cayJ3YQCRm24LnI4YuMz4g,wdcNukw5Q7epVAP6KHTbmQ,,抄送,cc,9,1
ZoX8HfFfREaxPuEI7wJIpA,wdcNukw5Q7epVAP6KHTbmQ,,结束,end,10,1
,,,,,,
NhOI/IXlQSSo3pgY9RNllg,3rDuHoFATU2+eGhD4f4Aog,流程版本-状态,已发布,published,1,1
hbi6KsGaSzy6isc+VPnPFg,3rDuHoFATU2+eGhD4f4Aog,,已归档,archived,2,1
,,,,,,
aVtdcoX3SSWpSTjfxRExKw,/I9pbnPKThS8vKEeiSJ9MQ,流程定义-分类,人事,hr,1,0
mU1Rx0DURpKJrFaVRc0c0A,/I9pbnPKThS8vKEeiSJ9MQ,,财务,finance,2,0
aYICF8G8SoOO9/nCvD1V9Q,/I9pbnPKThS8vKEeiSJ9MQ,,行政,admin,3,0
z1z80lqCSfSjZ9CXwXKMvg,/I9pbnPKThS8vKEeiSJ9MQ,,采购,purchase,4,0
kRc0Dx5oSWqoOYmExRU68w,/I9pbnPKThS8vKEeiSJ9MQ,,其他,other,5,0
