id,type,menu_id,lbl,route_path,route_query,is_enabled,order_by
6ZeQOSTtRpGy+467HJZuBw,pc,,系统管理,,NULL,1,100
LiRTLUICQA2SRlJgYoNmnA,pc,6ZeQOSTtRpGy+467HJZuBw,菜单,/menu,NULL,1,1000
1oTQS2N4TsKhvk7Rnq4hAg,pc,6ZeQOSTtRpGy+467HJZuBw,角色,/role,NULL,1,1001
TO8DBpthSvG2/XDWOwAqtA,pc,6ZeQOSTtRpGy+467HJZuBw,租户,/tenant,NULL,1,10031
AE6NzvHDQ3CSMdhPlSHCdg,pc,6ZeQOSTtRpGy+467HJZuBw,用户,/usr,NULL,1,10041
9mMZgzvwTNWB8glB+h4KFg,pc,6ZeQOSTtRpGy+467HJZuBw,后台任务,/background_task,NULL,1,10043
K2mq1MJTRdeqyP7f9oFTIQ,pc,6ZeQOSTtRpGy+467HJZuBw,选项,/option,NULL,1,10045
ecLh8jMSQgi3N1qWaWgdsA,pc,6ZeQOSTtRpGy+467HJZuBw,操作记录,/operation_record,NULL,1,10047
L+1jMngoQImVmBCHnhcz8A,pc,6ZeQOSTtRpGy+467HJZuBw,部门,/dept,NULL,1,10049
UVFbKnOJRfelRv93YtbqBQ,pc,6ZeQOSTtRpGy+467HJZuBw,系统字典,/dict,NULL,1,10051
HTt8ThGSRO2Gisb0ym4XbA,pc,6ZeQOSTtRpGy+467HJZuBw,业务字典,/dictbiz,NULL,1,10053
