id,dictbiz_id,_dictbiz_lbl,lbl,val,order_by,tenant_id,is_sys
TAR5ZmrYSaC/vZ/5zu5blg,ZL1BROTVTNWwEl9ixt5ApA,会员卡-会员卡等级,普通,normal,1,ZDbZlC1OT8KaDg6soxMCBQ,1
VWRFft2LRvaE4Cg9OdzMvg,ZL1BROTVTNWwEl9ixt5ApA,,黄金,gold,2,ZDbZlC1OT8KaDg6soxMCBQ,1
Jp3rpqO5Q+CVEj7l7qc4Gw,ZL1BROTVTNWwEl9ixt5ApA,,铂金,platinum,3,ZDbZlC1OT8KaDg6soxMCBQ,1
0Le7Rd5tS1WnU61FOTf20w,ZL1BROTVTNWwEl9ixt5ApA,,钻石,diamond,4,ZDbZlC1OT8KaDg6soxMCBQ,1
,,,,,,,
mAF2BfQPSliL1A0aboxH5g,5OqecJaSRiCu/y9HpjG2rQ,订单-订单状态,待支付,to_be_paid,1,ZDbZlC1OT8KaDg6soxMCBQ,1
GVFpi+eHTSmkA9iLOmV2yQ,5OqecJaSRiCu/y9HpjG2rQ,,待审核,to_be_reviewed,2,ZDbZlC1OT8KaDg6soxMCBQ,1
zb9Qc4k6RkSikJi336M3sQ,5OqecJaSRiCu/y9HpjG2rQ,,办理中,in_progress,3,ZDbZlC1OT8KaDg6soxMCBQ,1
sOzrW0ZkRLisYSGWttkv0w,5OqecJaSRiCu/y9HpjG2rQ,,已完成,completed,4,ZDbZlC1OT8KaDg6soxMCBQ,1
,,,,,,,
Pv39kLOCS+KMgTOWpEaj+g,DaFhIk6DTDOdIQKz/HPLHQ,订单-类型,消费,pay,1,ZDbZlC1OT8KaDg6soxMCBQ,1
Q8+HOdf9R7STu9cs0RQqBA,DaFhIk6DTDOdIQKz/HPLHQ,,充值,recharge,2,ZDbZlC1OT8KaDg6soxMCBQ,1
N2rivkk7TaSG8hGFMbrq/Q,DaFhIk6DTDOdIQKz/HPLHQ,,赠送,give,3,ZDbZlC1OT8KaDg6soxMCBQ,1
aPaBHimsQzyxKJPiBcXiIg,DaFhIk6DTDOdIQKz/HPLHQ,,活动,activity,4,ZDbZlC1OT8KaDg6soxMCBQ,1
